,Date,Open,High,Low,Close,Adj Close,Volume,year,month
4556,2015-06-24,444.97000099999997,446.47000099999997,440.23001100000005,440.839996,440.839996,2620800,2015,6
4557,2015-06-25,438.07000700000003,443.47000099999997,436.39001500000006,440.10000599999995,440.10000599999995,2237500,2015,6
4558,2015-06-26,441.76000999999997,443.48999000000003,435.05999800000006,438.10000599999995,438.10000599999995,2624500,2015,6
4559,2015-06-29,434.98001100000005,437.0,429.0,429.85998499999994,429.85998499999994,2753200,2015,6
4560,2015-06-30,434.200012,435.57000700000003,430.459991,434.089996,434.089996,2596900,2015,6
4561,2015-07-01,439.35000599999995,440.0,435.579987,437.39001500000006,437.39001500000006,1987100,2015,7
4562,2015-07-02,437.0,438.200012,433.48001100000005,437.709991,437.709991,1343400,2015,7
4563,2015-07-06,435.23001100000005,439.73001100000005,433.51998899999995,436.040009,436.040009,1903200,2015,7
4564,2015-07-07,435.67999299999997,437.73001100000005,425.57000700000003,436.72000099999997,436.72000099999997,3454200,2015,7
4565,2015-07-08,434.35000599999995,435.98999000000003,428.829987,429.700012,429.700012,2383100,2015,7
4566,2015-07-09,434.89999400000005,438.72000099999997,434.14999400000005,434.39001500000006,434.39001500000006,2271400,2015,7
4567,2015-07-10,440.48999000000003,444.72000099999997,439.0,443.51000999999997,443.51000999999997,2401000,2015,7
4568,2015-07-13,448.290009,457.869995,447.540009,455.57000700000003,455.57000700000003,3956800,2015,7
4569,2015-07-14,462.32000700000003,469.60000599999995,458.160004,465.57000700000003,465.57000700000003,4736200,2015,7
4570,2015-07-15,463.040009,464.700012,460.200012,461.19000199999994,461.19000199999994,2987400,2015,7
4571,2015-07-16,465.5,475.880005,464.799988,475.48001100000005,475.48001100000005,4095600,2015,7
4572,2015-07-17,477.700012,485.420013,477.25,483.01000999999997,483.01000999999997,4932200,2015,7
4573,2015-07-20,492.57000700000003,493.200012,485.39999400000005,488.10000599999995,488.10000599999995,4752500,2015,7
4574,2015-07-21,487.89999400000005,488.880005,482.549988,488.0,488.0,3181800,2015,7
4575,2015-07-22,485.98999000000003,492.5,484.89999400000005,488.26998899999995,488.26998899999995,3114900,2015,7
4576,2015-07-23,491.660004,491.660004,475.700012,482.17999299999997,482.17999299999997,9374400,2015,7
4577,2015-07-24,578.98999,580.570007,529.349976,529.419983,529.419983,21909400,2015,7
4578,2015-07-27,527.75,544.950012,526.599976,531.409973,531.409973,7491000,2015,7
4579,2015-07-28,536.0,536.3900150000001,523.119995,526.030029,526.030029,5273100,2015,7
